game_pk,date,home_whip_rolling_5,away_whip_rolling_5,home_whip_rolling_10,away_whip_rolling_10
718767,2023-03-30,0.0,0.0,0.0,0.0
718768,2023-03-30,0.0,0.0,0.0,0.0
718769,2023-03-30,0.0,0.0,0.0,0.0
718770,2023-03-30,0.0,0.0,0.0,0.0
718772,2023-03-30,0.0,0.0,0.0,0.0
718773,2023-03-30,0.0,0.0,0.0,0.0
718774,2023-03-30,0.0,0.0,0.0,0.0
718775,2023-03-30,0.0,0.0,0.0,0.0
718776,2023-03-30,0.0,0.0,0.0,0.0
718777,2023-03-30,0.0,0.0,0.0,0.0
718778,2023-03-30,0.0,0.0,0.0,0.0
718779,2023-03-30,0.0,0.0,0.0,0.0
718780,2023-03-30,0.0,0.0,0.0,0.0
718781,2023-03-30,0.0,0.0,0.0,0.0
718782,2023-03-30,0.0,0.0,0.0,0.0
718763,2023-03-31,0.0,0.0,0.0,0.0
718764,2023-03-31,0.0,0.0,0.0,0.0
718765,2023-03-31,0.0,0.0,0.0,0.0
718766,2023-03-31,0.0,0.0,0.0,0.0
718771,2023-03-31,0.0,0.0,0.0,0.0
718746,2023-04-01,0.0,0.0,0.0,0.0
718749,2023-04-01,0.0,0.0,0.0,0.0
718750,2023-04-01,0.0,0.0,0.0,0.0
718751,2023-04-01,0.0,0.0,0.0,0.0
718752,2023-04-01,0.0,0.0,0.0,0.0
718753,2023-04-01,0.0,0.0,0.0,0.0
718754,2023-04-01,0.0,0.0,0.0,0.0
718755,2023-04-01,0.0,0.0,0.0,0.0
718756,2023-04-01,0.0,0.0,0.0,0.0
718757,2023-04-01,0.0,0.0,0.0,0.0
718758,2023-04-01,0.0,0.0,0.0,0.0
718759,2023-04-01,0.0,0.0,0.0,0.0
718760,2023-04-01,0.0,0.0,0.0,0.0
718761,2023-04-01,0.0,0.0,0.0,0.0
718762,2023-04-01,0.0,0.0,0.0,0.0
718733,2023-04-02,0.0,0.0,0.0,0.0
718734,2023-04-02,0.0,0.0,0.0,0.0
718735,2023-04-02,0.0,0.0,0.0,0.0
718736,2023-04-02,0.0,0.0,0.0,0.0
718737,2023-04-02,0.0,0.0,0.0,0.0
718738,2023-04-02,0.0,0.0,0.0,0.0
718739,2023-04-02,0.0,0.0,0.0,0.0
718740,2023-04-02,0.0,0.0,0.0,0.0
718741,2023-04-02,0.0,0.0,0.0,0.0
718742,2023-04-02,0.0,0.0,0.0,0.0
718743,2023-04-02,0.0,0.0,0.0,0.0
718744,2023-04-02,0.0,0.0,0.0,0.0
718745,2023-04-02,0.0,0.0,0.0,0.0
718747,2023-04-02,0.0,0.0,0.0,0.0
718748,2023-04-02,0.0,0.0,0.0,0.0
718718,2023-04-03,0.0,0.0,0.0,0.0
718719,2023-04-03,0.0,0.0,0.0,0.0
718720,2023-04-03,0.0,0.0,0.0,0.0
718721,2023-04-03,0.0,0.0,0.0,0.0
718722,2023-04-03,0.0,0.0,0.0,0.0
718723,2023-04-03,0.0,0.0,0.0,0.0
718724,2023-04-03,0.0,0.0,0.0,0.0
718725,2023-04-03,0.0,0.0,0.0,0.0
718726,2023-04-03,0.0,0.0,0.0,0.0
718727,2023-04-03,0.0,0.0,0.0,0.0
718728,2023-04-03,0.0,0.0,0.0,0.0
718729,2023-04-03,0.0,0.0,0.0,0.0
718730,2023-04-03,0.0,0.0,0.0,0.0
718731,2023-04-03,0.0,0.0,0.0,0.0
718732,2023-04-03,0.0,0.0,0.0,0.0
718703,2023-04-04,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334
718705,2023-04-04,1.2,0.0,1.2,0.0
718706,2023-04-04,0.16666666666666666,0.0,0.16666666666666666,0.0
718707,2023-04-04,0.0,1.0,0.0,1.0
718708,2023-04-04,0.0,0.0,0.0,0.0
718709,2023-04-04,0.0,1.4,0.0,1.4
718710,2023-04-04,0.0,0.0,0.0,0.0
718711,2023-04-04,0.0,0.0,0.0,0.0
718712,2023-04-04,0.0,1.0,0.0,1.0
718713,2023-04-04,0.0,0.0,0.0,0.0
718714,2023-04-04,1.346153846153846,0.0,1.346153846153846,0.0
718715,2023-04-04,0.0,0.0,0.0,0.0
718716,2023-04-04,0.0,0.0,0.0,0.0
718717,2023-04-04,0.0,2.142857142857143,0.0,2.142857142857143
718689,2023-04-05,1.0,1.875,1.0,1.875
718691,2023-04-05,0.0,0.8333333333333334,0.0,0.8333333333333334
718692,2023-04-05,1.5686274509803924,3.5483870967741935,1.5686274509803924,3.5483870967741935
718694,2023-04-05,1.875,0.0,1.875,0.0
718695,2023-04-05,0.3278688524590164,1.0,0.3278688524590164,1.0
718696,2023-04-05,1.8,0.9803921568627452,1.8,0.9803921568627452
718697,2023-04-05,3.225806451612903,0.0,3.225806451612903,0.0
718698,2023-04-05,1.4,1.8,1.4,1.8
718699,2023-04-05,0.8333333333333334,1.875,0.8333333333333334,1.875
718701,2023-04-05,1.1538461538461537,0.9803921568627452,1.1538461538461537,0.9803921568627452
718702,2023-04-05,3.225806451612903,2.142857142857143,3.225806451612903,2.142857142857143
718704,2023-04-05,3.3333333333333335,0.8333333333333334,3.3333333333333335,0.8333333333333334
718681,2023-04-06,1.0,1.707317073170732,1.0,1.707317073170732
718682,2023-04-06,0.6666666666666666,1.8,0.6666666666666666,1.8
718683,2023-04-06,2.1875,0.5714285714285714,2.1875,0.5714285714285714
718686,2023-04-06,1.3725490196078431,1.5,1.3725490196078431,1.5
718687,2023-04-06,1.346153846153846,0.0,1.346153846153846,0.0
718690,2023-04-06,5.238095238095238,3.0,5.238095238095238,3.0
