game_pk,home_pitching_era_rolling_5,away_pitching_era_rolling_5,home_pitching_era_rolling_10,away_pitching_era_rolling_10
286874,,,,
286875,,,,
286876,,,,
286877,,,,
286878,,,,
286946,,,,
286879,3.0,2.0,3.0,2.0
286880,,,,
286881,,,,
286882,,,,
286883,,,,
286884,,,,
286885,,,,
286886,,,,
286887,,,,
286888,,,,
286889,1.0,1.125,1.0,1.125
286890,2.0,2.1176470588235294,2.0,2.1176470588235294
286891,4.909090909090909,2.4545454545454546,4.909090909090909,2.4545454545454546
286892,2.0,0.0,2.0,0.0
286913,4.0,1.0,4.0,1.0
286914,3.0,10.125,3.0,10.125
286915,15.0,10.0,15.0,10.0
286916,2.0,5.625,2.0,5.625
286917,4.0,4.320017280069121,4.0,4.320017280069121
286918,6.0,7.2692028107584195,6.0,7.2692028107584195
286919,1.0,13.5,1.0,13.5
286920,2.0,6.75,2.0,6.75
286921,6.0,2.0,6.0,2.0
286922,3.272727272727273,2.4545454545454546,3.272727272727273,2.4545454545454546
286923,4.0,2.0,4.0,2.0
286924,2.0,1.6875,2.0,1.6875
286925,2.6666666666666665,3.24,2.6666666666666665,3.24
286927,2.5,2.6470588235294117,2.5,2.6470588235294117
286928,3.5,1.0,3.5,1.0
286929,4.0,11.8125,4.0,11.8125
286930,11.5,6.0,11.5,6.0
286931,3.5,8.4375,3.5,8.4375
286932,3.5,7.163279925061071,3.5,7.163279925061071
286933,4.0,5.399989200021601,4.0,5.399989200021601
286934,1.0,10.125,1.0,10.125
286935,3.789473684210526,5.0,3.789473684210526,5.0
286936,4.5,2.1176470588235294,4.5,2.1176470588235294
286937,6.75,2.7,6.75,2.7
286938,4.0,2.0,4.0,2.0
286939,4.666666666666667,1.08,4.666666666666667,1.08
286940,4.666666666666667,2.8421052631578947,4.666666666666667,2.8421052631578947
286941,6.567558692488253,2.423076923076923,6.567558692488253,2.423076923076923
286942,1.0,7.92,1.0,7.92
286943,5.666666666666667,7.2,5.666666666666667,7.2
286944,4.655172413793103,2.769230769230769,4.655172413793103,2.769230769230769
286945,3.0,3.4615384615384617,3.0,3.4615384615384617
286947,4.0,4.3008811496626995,4.0,4.3008811496626995
286948,3.75,3.3333333333333335,3.75,3.3333333333333335
286949,5.346529359871921,2.057142857142857,5.346529359871921,2.057142857142857
286950,8.0,9.75,8.0,9.75
286951,3.825,6.576923076923077,3.825,6.576923076923077
