game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
633137,2021-07-27,142,116,MIN,DET,Twins,Tigers,Minnesota Twins,Detroit Tigers,0,0,regular,regular,2021,2021,111,110,39,37,5,6,8,9,2,2,0,0,2,2,5,6,16,17,4,3,9,7,0,0,0.243,0.239,0.316,0.308,0.426,0.397,0.742,0.705,0,1,1,0,4.88,4.59,11.0,11.0,9,8,5,5,2,2,3,4,7,9,0.0,0.0,1.32,1.35,1,0,2021-07-27
633139,2021-07-27,108,115,LAA,COL,Angels,Rockies,Los Angeles Angels,Colorado Rockies,0,0,regular,regular,2021,2021,104,106,35,45,3,12,8,16,1,3,0,0,1,2,3,12,12,25,5,5,9,10,0,2,0.257,0.244,0.317,0.312,0.438,0.395,0.755,0.707,0,1,1,0,4.81,4.66,9.0,9.0,16,8,8,3,2,1,5,5,10,9,0.0,0.0,1.38,1.37,3,0,2021-07-27
633143,2021-07-27,139,147,TB,NYY,Rays,Yankees,Tampa Bay Rays,New York Yankees,0,0,regular,regular,2021,2021,102,103,32,34,3,4,8,10,1,4,0,0,1,1,3,4,12,17,7,7,12,10,0,1,0.233,0.236,0.316,0.325,0.403,0.397,0.719,0.722,0,1,1,0,3.58,3.77,9.0,9.0,10,8,4,3,1,1,7,7,10,12,0.0,0.0,1.15,1.19,0,0,2021-07-27
633147,2021-07-27,121,144,NYM,ATL,Mets,Braves,New York Mets,Atlanta Braves,0,0,regular,regular,2021,2021,113,108,36,39,5,12,10,11,3,2,0,0,2,4,5,12,19,25,2,5,8,11,0,0,0.238,0.241,0.317,0.322,0.389,0.428,0.706,0.75,0,1,1,0,3.6,4.14,9.0,9.0,11,10,12,5,4,2,5,2,11,8,0.0,0.0,1.21,1.31,1,0,2021-07-27
633149,2021-07-27,137,119,SF,LAD,Giants,Dodgers,San Francisco Giants,Los Angeles Dodgers,0,0,regular,regular,2021,2021,102,103,28,32,2,1,6,6,1,2,0,0,0,0,1,1,7,8,2,1,7,7,0,0,0.243,0.242,0.327,0.334,0.435,0.422,0.762,0.756,1,0,0,1,3.29,3.22,9.0,8.0,6,6,1,1,0,0,1,2,7,7,0.0,0.0,1.11,1.12,0,1,2021-07-27
633150,2021-07-27,140,109,TEX,AZ,Rangers,D-backs,Texas Rangers,Arizona Diamondbacks,0,0,regular,regular,2021,2021,102,104,29,30,5,4,6,8,2,2,0,0,1,0,5,4,11,10,7,4,6,7,1,0,0.225,0.235,0.297,0.311,0.371,0.379,0.668,0.69,1,0,0,1,4.73,5.31,9.0,8.0,8,6,4,5,0,1,4,7,7,6,0.0,0.0,1.35,1.46,0,0,2021-07-27
633152,2021-07-27,143,120,PHI,WSH,Phillies,Nationals,Philadelphia Phillies,Washington Nationals,0,0,regular,regular,2021,2021,105,108,37,33,4,6,9,8,3,1,0,0,2,2,4,6,18,15,3,2,7,8,0,0,0.241,0.256,0.318,0.329,0.401,0.416,0.719,0.745,0,1,1,0,4.46,4.35,9.0,9.0,8,9,6,4,2,2,2,3,8,7,0.0,0.0,1.31,1.29,0,1,2021-07-27
633153,2021-07-27,110,146,BAL,MIA,Orioles,Marlins,Baltimore Orioles,Miami Marlins,0,0,regular,regular,2021,2021,104,105,34,42,3,7,8,15,3,1,0,0,2,3,3,7,17,25,1,1,10,5,0,2,0.237,0.236,0.301,0.304,0.396,0.376,0.697,0.68,0,1,1,0,5.45,3.54,9.0,9.0,15,8,7,3,3,2,1,1,5,10,0.0,0.0,1.46,1.21,0,0,2021-07-27
633155,2021-07-27,135,133,SD,OAK,Padres,Athletics,San Diego Padres,Oakland Athletics,0,0,regular,regular,2021,2021,107,103,34,35,7,4,12,11,1,4,0,0,2,1,7,4,19,18,2,1,7,8,0,0,0.245,0.233,0.328,0.311,0.411,0.405,0.739,0.716,1,0,0,1,3.53,3.75,9.0,8.0,11,12,4,7,1,2,1,2,8,7,0.0,0.0,1.22,1.23,0,0,2021-07-27
633158,2021-07-27,136,117,SEA,HOU,Mariners,Astros,Seattle Mariners,Houston Astros,0,0,regular,regular,2021,2021,105,103,36,41,6,8,9,15,1,4,0,0,2,1,6,7,16,22,4,2,10,4,0,0,0.219,0.266,0.295,0.34,0.381,0.437,0.676,0.777,0,1,1,0,4.48,3.68,9.0,9.0,15,9,8,6,1,2,2,4,4,10,0.0,0.0,1.3,1.2,0,0,2021-07-27
