game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
264481,2010-05-25,3.0,3.0,1,2,0,0,0,0,1,2,0,0,0.0,0.0,0.33,0.67,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
264482,2010-05-25,2.9,2.0,4,3,2,3,0,2,3,1,0,0,6.21,13.5,1.38,2.5,9.31,4.5,0.0,0.5,0.0,0.0,0.0,9.0
264483,2010-05-25,1.0,3.0,0,0,0,0,1,1,1,3,0,0,0.0,0.0,1.0,0.33,9.0,9.0,1.0,3.0,0.0,0.0,9.0,3.0
264484,2010-05-25,2.0,2.0,2,2,1,1,0,0,1,2,0,0,4.5,4.5,1.0,1.0,4.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0
264485,2010-05-25,2.0,0.9,0,0,0,0,1,0,2,0,0,0,0.0,0.0,0.5,0.0,9.0,0.0,2.0,0.0,0.0,0.0,4.5,0.0
264486,2010-05-25,2.0,2.0,3,5,1,4,0,0,3,1,0,1,4.5,18.0,1.5,2.5,13.5,4.5,0.0,0.0,0.0,4.5,0.0,0.0
264487,2010-05-25,1.0,2.0,0,2,0,1,0,0,2,1,0,1,0.0,4.5,0.0,1.0,18.0,4.5,0.0,0.0,0.0,4.5,0.0,0.0
264488,2010-05-25,3.0,4.0,1,4,0,4,0,4,3,2,0,1,0.0,9.0,0.33,2.0,9.0,4.5,0.0,0.5,0.0,2.25,0.0,9.0
264489,2010-05-25,3.0,3.0,2,6,0,4,2,0,4,0,0,0,0.0,12.0,1.33,2.0,12.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0
264490,2010-05-25,1.9,2.0,1,2,1,1,0,0,2,3,1,1,4.74,4.5,0.53,1.0,9.47,13.5,0.0,0.0,4.74,4.5,0.0,0.0
264491,2010-05-25,2.0,1.0,1,0,0,0,1,1,1,1,0,0,0.0,0.0,1.0,1.0,4.5,9.0,1.0,1.0,0.0,0.0,4.5,9.0
264492,2010-05-25,3.0,3.9,6,4,2,1,1,2,1,3,0,0,6.0,2.31,2.33,1.54,3.0,6.92,1.0,1.5,0.0,0.0,3.0,4.62
264493,2010-05-25,0.0,2.9,0,1,0,0,0,2,0,3,0,0,0.0,0.0,0.0,1.03,0.0,9.31,0.0,1.5,0.0,0.0,0.0,6.21
264495,2010-05-25,3.0,3.0,0,2,0,0,0,1,4,2,0,0,0.0,0.0,0.0,1.0,12.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0
