game_time_est,fav_team,fav_score,dog_team,dog_score,home_team,home_score,away_team,away_score,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,market,fav_pitcher,dog_pitcher,fav_pitcher_era,dog_pitcher_era,fav_pitcher_whip,dog_pitcher_whip,fav_pitcher_so,dog_pitcher_so,fav_pitcher_ip,dog_pitcher_ip,fav_pitcher_avg,dog_pitcher_avg,fav_win_pct,dog_win_pct,fav_ba,dog_ba,fav_era_p,dog_era_p,fav_W,dog_W,fav_L,dog_L,fav_Strk,dog_Strk,fav_R,dog_R,fav_RA,dog_RA,fav_SOS,dog_SOS,fav_SRS,dog_SRS,fav_pythWL,dog_pythWL,fav_Luck,dog_Luck,fav_last10,dog_last10,fav_last20,dog_last20,fav_last30,dog_last30,fav_R/G,dog_R/G,fav_PA,dog_PA,fav_AB,dog_AB,fav_R_b,dog_R_b,fav_H_b,dog_H_b,fav_2B,dog_2B,fav_3B,dog_3B,fav_HR,dog_HR,fav_RBI,dog_RBI,fav_SB,dog_SB,fav_BB_b,dog_BB_b,fav_SO_b,dog_SO_b,fav_BA,dog_BA,fav_OBP,dog_OBP,fav_SLG,dog_SLG,fav_OPS,dog_OPS,fav_OPS+,dog_OPS+,fav_RA/G,dog_RA/G,fav_ERA,dog_ERA,fav_SV,dog_SV,fav_H_p,dog_H_p,fav_R_p,dog_R_p,fav_ER,dog_ER,fav_BB_p,dog_BB_p,fav_SO_p,dog_SO_p,fav_ERA+,dog_ERA+,fav_FIP,dog_FIP,fav_WHIP,dog_WHIP,fav_H9,dog_H9
2025-06-08T13:40:00-04:00,DET,4,CHC,0,DET,4,CHC,0,-1.5,1.5,0.364,0.654,175,-189,1,DET -1.5,Jack Flaherty,Cade Horton,3.72,3.51,1.09,1.21,76,19,65.1,25.2,0.212,0.263,0.636,0.625,0.25,0.261,3.2,3.66,42,40,24,24,L 1,W 1,4.9,5.7,3.5,4.0,0.0,-0.1,1.3,1.6,42-24,42-22,0.0,-2.0,6-4,7-3,12-8,15-5,19-11,19-11,4.86,5.67,2499,2506,2234,2227,321,363,558,581,100,120,11,15,63,70,307,355,24,82,216,234,587,502,0.25,0.261,0.321,0.333,0.406,0.447,0.728,0.78,106,124,3.53,3.97,3.2,3.66,21,15,498,520,233,254,209,233,186,182,556,498,125,104,3.66,3.98,1.165,1.226,7.6,8.2
2025-06-08T13:35:00-04:00,TEX,4,WAS,2,WAS,2,TEX,4,-1.5,1.5,0.426,0.583,135,-140,0,WAS +1.5,Jacob Latz,Trevor Williams,2.95,6.03,1.42,1.44,20,47,18.1,59.2,0.254,0.293,0.462,0.469,0.22,0.239,3.12,4.92,30,30,35,34,W 1,L 1,3.3,4.3,3.3,5.0,0.0,-0.1,0.0,-0.9,33-32,27-37,-3.0,3.0,4-6,6-4,6-14,12-8,13-17,15-15,3.34,4.27,2303,2354,2096,2118,217,273,461,507,74,106,6,10,55,61,211,260,57,57,166,178,536,485,0.22,0.239,0.282,0.306,0.353,0.387,0.634,0.693,83,99,3.34,5.03,3.12,4.92,17,19,459,557,217,322,196,308,180,219,505,508,121,81,3.6,4.06,1.131,1.378,7.3,8.9
2025-06-08T13:35:00-04:00,PIT,2,PHI,1,PIT,2,PHI,1,-1.5,1.5,0.345,0.677,190,-210,1,PIT -1.5,Paul Skenes,Cristopher Sánchez,2.05,3.15,0.88,1.31,85,74,83.1,65.2,0.181,0.24,0.385,0.578,0.227,0.252,3.9,4.04,25,37,40,27,W 2,L 4,3.2,4.6,4.1,4.4,0.3,-0.3,-0.7,0.0,25-40,34-30,0.0,3.0,6-4,2-8,10-10,11-9,13-17,18-12,3.17,4.62,2413,2451,2148,2181,206,296,487,549,80,98,12,9,53,66,199,281,61,58,222,228,569,507,0.227,0.252,0.305,0.327,0.339,0.398,0.644,0.725,81,102,4.12,4.38,3.9,4.04,14,20,506,555,268,280,250,257,197,196,481,599,107,102,3.75,3.6,1.218,1.311,7.9,8.7
2025-06-08T13:05:00-04:00,MIL,0,SD,1,MIL,0,SD,1,-1.5,1.5,0.444,0.573,125,-134,1,MIL -1.5,Freddy Peralta,Ryan Bergert,2.92,2.0,1.21,1.0,75,4,71.0,9.0,0.216,0.219,0.538,0.571,0.238,0.248,3.86,3.48,35,36,30,27,W 1,L 1,4.5,4.1,4.1,3.8,0.0,-0.1,0.4,0.2,35-30,33-30,0.0,3.0,8-2,5-5,14-6,9-11,18-12,14-16,4.49,4.1,2458,2342,2171,2099,292,258,517,521,89,90,5,8,67,63,269,238,84,49,227,194,522,449,0.238,0.248,0.316,0.314,0.365,0.377,0.681,0.691,92,93,4.12,3.83,3.86,3.48,15,23,520,467,268,241,247,216,237,207,534,544,104,116,4.07,3.83,1.316,1.206,8.1,7.5
2025-06-08T13:40:00-04:00,CLE,4,HOU,2,CLE,4,HOU,2,-1.5,1.5,0.387,0.638,158,-176,1,CLE -1.5,Tanner Bibee,Brandon Walter,3.89,0.0,1.24,0.8,56,5,69.1,5.0,0.241,0.176,0.524,0.562,0.233,0.251,3.98,3.52,33,36,30,28,L 3,W 3,3.9,4.0,4.2,3.7,0.1,0.1,-0.2,0.5,29-34,35-29,4.0,1.0,4-6,7-3,8-12,13-7,14-16,19-11,3.9,4.05,2315,2368,2058,2130,246,259,480,535,87,86,6,6,69,61,233,247,47,35,202,185,516,487,0.233,0.251,0.306,0.317,0.376,0.389,0.682,0.706,93,99,4.24,3.66,3.98,3.52,18,19,530,455,267,234,246,221,234,201,534,616,103,116,4.12,3.48,1.375,1.162,8.6,7.3
2025-06-08T15:10:00-04:00,NYM,13,COL,5,COL,5,NYM,13,-1.5,1.5,0.636,0.396,-175,153,0,COL +1.5,Tylor Megill,Chase Dollander,3.77,6.26,1.31,1.44,79,39,59.2,41.2,0.222,0.244,0.631,0.188,0.246,0.218,2.81,5.41,41,12,24,52,W 2,L 2,4.5,3.1,3.3,6.1,-0.2,0.3,1.1,-2.7,42-23,15-49,-1.0,-3.0,7-3,3-7,13-7,5-15,19-11,6-24,4.49,3.11,2474,2321,2165,2115,292,199,533,462,109,98,13,18,46,78,283,197,52,30,237,166,498,616,0.246,0.218,0.329,0.28,0.415,0.36,0.745,0.64,114,73,3.26,6.08,2.81,5.41,20,10,484,647,212,389,181,334,229,217,582,421,135,84,3.4,4.66,1.231,1.556,7.5,10.5
2025-06-08T14:10:00-04:00,KAN,7,CWS,5,CWS,5,KAN,7,-1.5,1.5,0.424,0.592,136,-145,0,CWS +1.5,Michael Lorenzen,Mike Vasil,5.12,1.89,1.46,1.21,54,27,65.0,38.0,0.285,0.184,0.508,0.338,0.25,0.224,3.28,4.08,33,22,32,43,L 2,W 3,3.4,3.5,3.5,4.3,0.1,0.0,0.0,-0.7,31-34,27-38,2.0,-5.0,4-6,5-5,8-12,8-12,14-16,12-18,3.37,3.51,2398,2373,2186,2114,219,228,546,474,107,99,12,3,63,70,216,218,51,47,153,214,451,540,0.25,0.224,0.303,0.297,0.367,0.346,0.67,0.643,88,83,3.54,4.26,3.28,4.08,21,6,508,527,230,277,211,254,186,237,527,475,127,101,3.72,4.48,1.199,1.363,7.9,8.5
2025-06-08T13:40:00-04:00,ARI,2,CIN,4,CIN,4,ARI,2,-1.5,1.5,0.418,0.595,139,-147,0,CIN +1.5,Zac Gallen,Brady Singer,5.13,4.66,1.33,1.34,70,53,73.2,63.2,0.23,0.245,0.484,0.492,0.253,0.244,4.86,3.73,31,32,33,33,L 2,W 2,5.0,4.6,5.3,4.0,0.2,-0.1,0.0,0.5,31-33,36-29,0.0,-4.0,4-6,5-5,8-12,11-9,13-17,14-16,5.02,4.57,2468,2449,2173,2180,321,297,550,533,122,111,12,7,82,74,314,285,51,57,233,229,485,576,0.253,0.244,0.331,0.32,0.445,0.395,0.775,0.716,116,94,5.27,4.02,4.86,3.73,20,17,546,494,337,261,308,239,219,193,545,521,85,118,4.34,4.06,1.342,1.193,8.6,7.7
2025-06-08T16:05:00-04:00,ATL,3,SF,4,SF,4,ATL,3,-1.5,1.5,0.399,0.623,151,-165,0,SF +1.5,Spencer Strider,Landen Roupp,5.68,3.18,1.37,1.38,19,61,19.0,62.1,0.257,0.26,0.429,0.569,0.243,0.23,3.79,3.04,27,37,36,28,L 6,W 4,4.1,4.1,4.0,3.4,0.0,-0.1,0.0,0.6,32-31,38-27,-5.0,-1.0,2-8,6-4,6-14,11-9,12-18,15-15,4.06,4.11,2394,2408,2138,2138,256,267,519,492,88,96,6,9,72,44,246,254,36,39,218,222,543,552,0.243,0.23,0.317,0.306,0.385,0.369,0.702,0.675,97,95,4.0,3.43,3.79,3.04,10,19,486,492,252,223,235,194,208,196,553,567,107,125,4.02,3.23,1.245,1.197,7.8,7.7
2025-06-08T16:07:00-04:00,SEA,3,LAA,2,LAA,2,SEA,3,-1.5,1.5,0.42,0.592,138,-145,0,LAA +1.5,George Kirby,Tyler Anderson,8.56,3.86,1.83,1.27,11,51,13.2,65.1,0.368,0.227,0.508,0.476,0.238,0.227,3.94,4.88,32,30,31,33,L 5,W 2,4.4,4.3,4.4,5.1,-0.2,0.0,-0.2,-0.8,31-32,26-37,1.0,4.0,2-8,5-5,8-12,12-8,12-18,17-13,4.43,4.25,2424,2310,2141,2097,279,268,510,477,77,91,4,7,70,82,270,258,62,28,228,162,564,604,0.238,0.227,0.319,0.29,0.394,0.409,0.713,0.699,109,96,4.44,5.11,3.94,4.88,18,17,564,581,280,322,250,300,193,262,502,464,94,86,4.05,4.85,1.324,1.523,8.9,9.5
