game_pk,home_batting_r_per_g_rolling_5,away_batting_r_per_g_rolling_5,home_batting_r_per_g_rolling_10,away_batting_r_per_g_rolling_10
778563,,,,
778564,1.0,4.0,1.0,4.0
778545,,,,
778546,5.0,,5.0,
778547,,,,
778551,,,,
778552,,2.0,,2.0
778553,,,,
778554,,,,
778555,,,,
778556,,,,
778557,,,,
778558,,,,
778559,,,,
778561,,,,
778562,,,,
778518,3.0,1.0,3.0,1.0
778541,4.0,2.0,4.0,2.0
778542,7.0,4.0,7.0,4.0
778543,6.0,4.666666666666667,6.0,4.666666666666667
778544,5.0,4.0,5.0,4.0
778548,5.0,4.0,5.0,4.0
778549,2.0,12.0,2.0,12.0
778550,2.0,5.0,2.0,5.0
778560,,,,
778520,5.5,3.5,5.5,3.5
778521,2.0,4.5,2.0,4.5
778528,5.0,3.0,5.0,3.0
778529,4.0,7.0,4.0,7.0
778530,2.0,2.0,2.0,2.0
778531,3.0,3.0,3.0,3.0
778532,7.0,3.75,7.0,3.75
778533,5.75,4.5,5.75,4.5
778534,8.0,1.0,8.0,1.0
778535,3.0,7.0,3.0,7.0
778536,5.0,7.0,5.0,7.0
778537,3.0,2.0,3.0,2.0
778538,4.0,2.0,4.0,2.0
778539,4.0,4.0,4.0,4.0
778540,4.0,6.0,4.0,6.0
778510,4.0,5.0,4.0,5.0
778513,2.0,4.333333333333333,2.0,4.333333333333333
778514,4.0,2.3333333333333335,4.0,2.3333333333333335
778515,5.666666666666667,3.8,5.666666666666667,3.8
778516,3.3333333333333335,3.0,3.3333333333333335,3.0
778517,5.0,2.0,5.0,2.0
778519,4.333333333333333,4.0,4.333333333333333,4.0
778522,3.5,4.0,3.5,4.0
778523,12.0,5.5,12.0,5.5
778524,2.0,2.0,2.0,2.0
778525,5.0,7.666666666666667,5.0,7.666666666666667
778526,4.5,9.0,4.5,9.0
778527,4.0,1.0,4.0,1.0
778496,2.0,4.0,2.0,4.0
778499,4.25,5.333333333333333,4.25,5.333333333333333
778500,6.0,1.75,6.0,1.75
778501,3.5,4.8,3.5,4.166666666666667
778502,6.333333333333333,2.6666666666666665,6.333333333333333,2.6666666666666665
778503,6.333333333333333,1.6666666666666667,6.333333333333333,1.6666666666666667
778504,4.666666666666667,3.3333333333333335,4.666666666666667,3.3333333333333335
778505,2.0,4.666666666666667,2.0,4.666666666666667
778506,3.3333333333333335,2.0,3.3333333333333335,2.0
778507,4.5,4.666666666666667,4.5,4.666666666666667
778508,3.3333333333333335,3.5,3.3333333333333335,3.5
778509,4.0,1.6666666666666667,4.0,1.6666666666666667
778511,3.3333333333333335,3.25,3.3333333333333335,3.25
778512,6.0,2.75,6.0,2.75
778485,4.8,4.5,4.8,4.5
778486,2.8,5.25,2.8,5.25
778487,6.4,1.6,6.0,1.6
778488,3.75,5.25,3.75,5.25
778489,2.0,5.25,2.0,5.25
778490,4.75,1.5,4.75,1.5
778491,4.6,4.0,4.6,4.0
778492,12.0,6.75,12.0,6.75
778493,4.0,3.0,4.0,3.0
778494,3.4,7.8,3.4,6.142857142857143
778495,5.75,2.5,5.75,2.5
778497,4.0,3.75,4.0,3.75
778498,6.0,3.2,6.0,3.2
778469,2.2,5.0,2.5,5.0
778471,3.8,7.2,3.5,6.25
778472,5.8,1.0,5.571428571428571,1.5
778473,6.0,3.8,6.0,3.8
778474,4.4,2.8,4.4,2.8
778475,1.8,4.8,1.8,4.8
778476,4.8,3.6,5.166666666666667,3.6
778477,4.0,4.2,4.0,4.2
778478,5.2,3.8,4.666666666666667,3.8
778479,4.6,2.2,4.6,2.5
778480,4.8,3.0,4.8,2.8333333333333335
778481,3.8,3.4,4.0,3.4
778482,6.25,2.25,6.25,2.25
778483,6.4,3.2,6.4,3.2
778484,10.25,6.8,10.25,6.8
778462,3.4,1.8,3.3333333333333335,2.0
778466,8.8,6.4,8.8,6.333333333333333
778467,6.0,2.0,6.0,2.0
778468,4.2,4.0,3.8333333333333335,4.0
778470,4.0,2.8,5.333333333333333,3.1666666666666665
778444,4.8,2.8,5.0,2.5714285714285716
778447,4.6,2.6,4.0,3.3333333333333335
778453,2.6,3.4,3.4285714285714284,3.4285714285714284
778454,2.4,4.4,2.5714285714285716,4.166666666666667
778455,3.8,4.4,3.8333333333333335,5.142857142857143
778456,1.8,2.8,1.8333333333333333,3.2857142857142856
778457,3.6,6.2,3.5,6.428571428571429
778458,4.6,3.0,4.5,3.8333333333333335
778459,5.2,6.0,5.5,5.625
778460,9.0,5.0,6.666666666666667,5.142857142857143
778461,2.2,9.8,2.7142857142857144,8.833333333333334
778463,4.2,7.4,3.857142857142857,7.0
778464,1.4,4.2,2.0,4.142857142857143
778465,4.4,4.4,3.8333333333333335,4.571428571428571
778436,6.4,4.2,5.714285714285714,3.375
778437,5.6,3.6,4.285714285714286,4.0
778438,2.6,4.6,2.875,3.857142857142857
778439,2.6,3.2,3.375,3.25
778440,3.6,2.6,3.142857142857143,2.4285714285714284
778441,4.6,3.0,4.428571428571429,4.75
778442,2.0,3.2,2.0,3.625
778445,5.0,3.8,4.857142857142857,3.857142857142857
778446,4.8,3.4,4.0,4.0
778448,3.6,4.8,5.142857142857143,5.222222222222222
778449,2.2,7.6,2.875,8.857142857142858
778450,8.8,5.0,6.3,4.625
778451,3.4,3.2,3.0,3.625
778452,3.2,6.8,3.5714285714285716,6.375
778419,4.4,2.4,3.5,2.25
778420,3.2,4.2,3.2222222222222223,3.875
778421,3.8,2.6,3.7777777777777777,4.111111111111111
778422,4.4,4.4,4.0,5.111111111111111
778423,2.0,4.4,2.25,4.0
778425,7.0,3.2,5.0,4.0
778427,6.0,4.0,5.5,3.111111111111111
778428,2.6,7.2,3.0,9.0
778429,3.0,5.4,3.625,6.0
778430,9.0,4.2,6.9,4.222222222222222
778432,6.2,8.2,5.0,7.285714285714286
778433,5.8,3.8,5.125,3.625
778434,3.6,4.0,4.625,5.0
778435,5.2,3.2,3.875,3.7777777777777777
778443,9.4,7.8,6.444444444444445,7.25
778405,3.6,3.8,3.2,3.0
778410,5.6,3.0,5.444444444444445,3.9
778411,6.8,3.4,7.3,3.3
778412,3.0,5.8,4.0,3.888888888888889
778413,4.8,3.0,5.8,4.7
778414,4.8,4.4,4.1,4.6
778415,3.4,7.8,3.2,6.888888888888889
778416,3.6,3.4,3.6666666666666665,3.6666666666666665
778418,3.6,4.2,3.7777777777777777,5.3
778424,4.8,7.0,5.0,8.444444444444445
778426,9.4,2.4,6.3,3.5
778394,4.2,4.4,3.3333333333333335,4.2
778395,4.8,4.0,4.3,4.4
778396,4.2,4.0,5.3,4.0
778397,5.0,3.4,4.9,3.7
778398,4.2,4.2,3.2,3.0
778400,3.8,4.6,4.0,3.7
778401,6.8,3.2,7.0,3.1
778402,3.2,2.6,3.7777777777777777,3.5555555555555554
778403,5.2,6.8,5.1,7.8
778404,9.2,2.6,6.0,3.9
778406,3.4,4.0,2.6666666666666665,5.0
778407,3.6,2.6,3.5,3.3
778408,5.0,7.2,3.6,6.6
778409,4.2,4.4,4.0,5.1
778417,3.6,7.2,3.7777777777777777,5.111111111111111
778376,3.8,3.6,4.3,3.5
778379,4.2,5.2,3.1,4.7
778380,3.6,3.8,4.9,4.1
778381,6.4,3.8,4.6,4.4
778383,3.8,4.0,3.3,2.9
778385,6.8,4.2,7.9,3.3
778386,7.8,3.0,6.0,3.7
778387,5.8,5.0,5.2,7.4
778388,3.8,3.6,3.8,3.5
778389,4.8,5.8,3.5,6.6
778390,4.4,2.8,4.4,3.3
778391,3.4,2.0,3.5,3.2
778392,5.4,3.6,4.5,4.8
778393,4.6,4.0,3.1,5.0
778399,2.8,6.2,3.7,5.0
778371,4.4,8.4,3.1,5.5
778373,2.2,4.0,3.4,3.8
778377,5.4,3.4,5.8,3.4
778378,3.6,2.2,3.1,2.6
778382,3.4,6.0,3.9,5.3
778384,5.0,4.2,3.0,4.7
778356,4.4,6.6,4.6,7.7
778358,5.4,3.4,4.3,4.1
778360,3.4,4.4,3.8,3.5
778361,4.0,5.2,4.5,3.6
778363,3.2,5.0,3.8,5.0
778364,4.2,8.2,5.5,5.4
778365,4.2,4.0,6.2,3.8
778366,1.6,2.6,2.7,6.0
778367,3.2,4.8,3.9,3.1
778368,4.2,7.0,3.4,6.3
778369,2.8,5.6,3.5,4.4
778370,4.0,3.4,5.8,4.9
778374,4.4,4.4,3.8,3.3
778375,3.2,2.6,3.4,3.5
778341,4.2,3.8,4.1,3.5
778345,4.4,5.2,4.2,7.1
778346,5.2,4.2,4.8,4.7
778347,3.2,3.8,5.5,3.7
778348,3.0,5.0,4.4,5.4
778349,3.4,1.8,3.6,5.6
778350,3.6,8.2,4.5,6.0
778351,6.8,5.6,4.6,6.3
778352,5.4,4.4,4.8,3.2
778353,3.6,3.4,3.9,3.4
778354,3.6,6.2,3.4,4.6
778355,2.2,4.4,4.7,5.2
778357,3.2,4.2,2.9,3.4
778359,3.8,1.8,3.5,2.4
778362,3.4,3.6,3.2,3.4
778329,5.2,5.2,4.5,6.2
778330,4.2,2.0,4.3,3.1
778331,3.0,7.0,3.6,6.9
778332,3.8,7.4,4.3,5.9
778333,4.8,4.0,4.8,3.8
778334,5.2,3.4,4.4,3.4
778335,2.6,5.0,3.6,4.9
778336,2.6,3.0,5.2,3.5
778337,4.2,6.4,3.8,5.0
778338,3.4,1.8,3.0,5.5
778339,3.0,4.2,5.0,4.9
778340,3.8,4.4,3.7,3.9
778342,4.6,1.6,3.9,2.7
778343,3.8,3.6,3.4,3.5
778344,2.8,4.2,3.6,3.3
778315,4.4,6.4,4.2,6.6
778320,2.0,5.2,3.0,5.1
778321,2.0,6.0,3.5,5.1
778322,4.4,3.6,3.5,4.1
778323,6.4,4.0,5.8,4.6
778324,3.4,5.2,3.5,4.4
778325,3.2,6.0,5.2,5.1
778326,2.6,1.8,3.5,3.0
778327,3.4,2.0,5.1,2.9
778328,4.8,2.2,3.8,5.0
778302,3.2,2.0,3.4,3.2
778305,5.6,5.2,4.7,6.0
778306,3.6,5.0,3.4,5.6
778307,2.8,4.2,3.4,4.3
778308,3.8,6.2,4.8,5.1
778309,3.6,4.0,2.8,4.4
778310,3.2,4.8,5.8,5.3
778311,4.0,4.6,3.5,4.8
778312,4.2,2.2,4.6,2.2
778313,2.0,7.2,3.1,5.5
778314,3.4,5.0,4.1,5.2
778316,4.2,5.0,3.8,4.6
778317,3.8,4.8,3.4,4.1
778318,6.4,4.6,4.5,4.4
778319,7.0,2.2,5.2,3.8
778287,3.2,1.0,3.8,3.1
778288,5.4,5.2,4.7,5.9
778289,3.2,4.2,3.7,5.1
778290,3.6,5.4,3.9,4.8
778293,3.0,4.6,3.7,5.1
778294,3.8,4.4,3.0,5.4
778295,3.8,4.2,6.0,4.6
778296,2.8,6.4,3.4,4.9
778297,4.8,4.4,4.1,4.6
778298,7.6,2.8,5.4,2.7
778299,3.6,4.8,3.4,4.1
778300,4.2,2.0,4.1,2.3
778301,3.4,5.4,3.7,4.5
778303,6.2,5.8,4.5,4.7
778304,5.6,5.6,4.6,4.7
778278,4.0,4.0,4.1,3.6
778279,3.6,6.8,3.7,5.6
778280,3.6,3.4,3.9,4.8
778281,2.6,2.2,3.5,4.6
778282,6.4,4.8,5.0,3.5
778283,3.8,4.8,2.7,5.1
778285,5.0,5.2,4.7,4.3
778286,3.0,2.6,4.0,2.2
778291,5.6,5.2,4.2,4.7
778292,4.6,4.4,4.2,3.8
778260,2.2,6.8,3.9,5.5
778261,3.4,5.2,5.8,5.2
778263,3.0,4.2,3.4,4.3
778268,5.6,6.4,5.4,5.0
778269,2.8,4.6,4.8,5.0
778270,4.6,4.0,4.3,3.3
778271,3.4,3.4,3.5,3.6
778272,6.2,4.4,5.0,3.7
778273,4.8,6.4,4.2,5.3
778274,4.0,5.6,3.5,4.6
778275,2.8,1.6,2.3,2.5
778276,5.8,5.4,4.6,4.3
778277,3.4,2.2,4.2,1.9
