game_pk,home_pitching_whip_rolling_5,away_pitching_whip_rolling_5,home_pitching_whip_rolling_10,away_pitching_whip_rolling_10
778563,,,,
778564,1.6666666666666667,0.4444444444444444,1.6666666666666667,0.4444444444444444
778545,,,,
778546,1.0555555555555556,,1.0555555555555556,
778547,,,,
778551,,,,
778552,,1.6111111111111112,,1.6111111111111112
778553,,,,
778554,,,,
778555,,,,
778556,,,,
778557,,,,
778558,,,,
778559,,,,
778561,,,,
778562,,,,
778518,1.3333333333333333,1.5,1.3333333333333333,1.5
778541,0.4444444444444444,1.5,0.4444444444444444,1.5
778542,1.4444444444444444,1.5,1.4444444444444444,1.5
778543,2.0,1.5185185185185186,2.0,1.5185185185185186
778544,1.2592592592592593,1.0,1.2592592592592593,1.0
778548,1.2222222222222223,1.75,1.2222222222222223,1.75
778549,2.111111111111111,1.0,2.111111111111111,1.0
778550,1.0,1.0,1.0,1.0
778560,,,,
778520,1.2222222222222223,1.5,1.2222222222222223,1.5
778521,1.1666666666666667,1.1764705882352942,1.1666666666666667,1.1764705882352942
778528,1.2222222222222223,1.5,1.2222222222222223,1.5
778529,1.3,0.8,1.3,0.8
778530,1.1111111111111112,1.1176470588235294,1.1111111111111112,1.1176470588235294
778531,1.0555555555555556,1.1764705882352942,1.0555555555555556,1.1764705882352942
778532,1.3888888888888888,1.5714285714285714,1.3888888888888888,1.5714285714285714
778533,1.3243243243243243,1.0526315789473684,1.3243243243243243,1.0526315789473684
778534,0.7777777777777778,1.375,0.7777777777777778,1.375
778535,1.4,0.8,1.4,0.8
778536,1.4444444444444444,1.5294117647058822,1.4444444444444444,1.5294117647058822
778537,1.1111111111111112,1.0,1.1111111111111112,1.0
778538,1.2222222222222223,1.375,1.2222222222222223,1.375
778539,1.2777777777777777,1.411764705882353,1.2777777777777777,1.411764705882353
778540,0.8888888888888888,1.3333333333333333,0.8888888888888888,1.3333333333333333
778510,1.1578947368421053,1.1111111111111112,1.1578947368421053,1.1111111111111112
778513,1.1851851851851851,1.1923076923076923,1.1851851851851851,1.1923076923076923
778514,1.1851851851851851,1.25,1.1851851851851851,1.25
778515,1.2592592592592593,1.5227272727272727,1.2592592592592593,1.5227272727272727
778516,1.1851851851851851,1.16,1.1851851851851851,1.16
778517,0.7777777777777778,1.6875,0.7777777777777778,1.6875
778519,1.3333333333333333,1.4234875444839856,1.3333333333333333,1.4234875444839856
778522,0.8888888888888888,1.2352941176470589,0.8888888888888888,1.2352941176470589
778523,1.4444444444444444,2.1875,1.4444444444444444,2.1875
778524,0.8888888888888888,1.4705882352941178,0.8888888888888888,1.4705882352941178
778525,1.4444444444444444,1.5,1.4444444444444444,1.5
778526,1.894736842105263,1.263157894736842,1.894736842105263,1.263157894736842
778527,1.0555555555555556,1.0,1.0555555555555556,1.0
778496,1.0833333333333333,1.1155378486055776,1.0833333333333333,1.1155378486055776
778499,0.9444444444444444,1.0740740740740742,0.9444444444444444,1.0740740740740742
778500,1.2826086956521738,1.40625,1.2826086956521738,1.40625
778501,1.0588235294117647,1.744186046511628,1.0588235294117647,1.7307692307692308
778502,1.2222222222222223,1.48,1.2222222222222223,1.48
778503,0.7777777777777778,1.0,0.7777777777777778,1.0
778504,2.0833333333333335,1.3928571428571428,2.0833333333333335,1.3928571428571428
778505,0.9259259259259259,1.0769230769230769,0.9259259259259259,1.0769230769230769
778506,1.0,1.75,1.0,1.75
778507,1.3888888888888888,1.7142857142857142,1.3888888888888888,1.7142857142857142
778508,0.9259259259259259,1.3573407202216066,0.9259259259259259,1.3573407202216066
778509,1.2820512820512822,1.12,1.2820512820512822,1.12
778511,0.9259259259259259,1.1666666666666667,0.9259259259259259,1.1666666666666667
778512,1.411764705882353,1.0606060606060606,1.411764705882353,1.0606060606060606
778485,0.9555555555555556,1.3142857142857143,0.9555555555555556,1.3142857142857143
778486,1.3555555555555556,1.2316715542521994,1.3555555555555556,1.2316715542521994
778487,1.3695652173913044,1.5,1.2181818181818183,1.5
778488,2.090909090909091,1.2972972972972974,2.090909090909091,1.2972972972972974
778489,1.0833333333333333,0.9714285714285714,1.0833333333333333,0.9714285714285714
778490,0.9166666666666666,1.71875,0.9166666666666666,1.71875
778491,1.288888888888889,1.6944444444444444,1.288888888888889,1.6944444444444444
778492,1.2592592592592593,1.3055555555555556,1.2592592592592593,1.3055555555555556
778493,0.8055555555555556,1.4512471655328798,0.8055555555555556,1.4512471655328798
778494,1.558139534883721,1.697674418604651,1.558139534883721,1.6721311475409837
778495,0.8108108108108109,1.1666666666666667,0.8108108108108109,1.1666666666666667
778497,1.3333333333333333,1.2058823529411764,1.3333333333333333,1.2058823529411764
778498,0.9444444444444444,1.3636363636363635,0.9444444444444444,1.3636363636363635
778469,1.4666666666666666,1.0904872389791183,1.2962962962962963,1.0904872389791183
778471,1.5227272727272727,1.6511627906976745,1.5192307692307692,1.6
778472,1.1956521739130435,1.325,1.15625,1.3541666666666667
778473,0.875,1.1914893617021276,0.875,1.1914893617021276
778474,1.0888888888888888,1.5853658536585367,1.0888888888888888,1.5853658536585367
778475,1.0444444444444445,0.9318181818181818,1.0444444444444445,0.9318181818181818
778476,0.7777777777777778,1.4651162790697674,0.8888888888888888,1.4651162790697674
778477,1.8333333333333333,1.288888888888889,1.8333333333333333,1.288888888888889
778478,1.0888888888888888,1.7045454545454546,1.2592592592592593,1.7045454545454546
778479,0.8444444444444444,1.4965986394557822,0.8444444444444444,1.5355086372360844
778480,0.9333333333333333,1.25,0.9333333333333333,1.2075471698113207
778481,1.2291666666666667,1.0714285714285714,1.2280701754385965,1.0714285714285714
778482,1.1944444444444444,1.4848484848484849,1.1944444444444444,1.4848484848484849
778483,1.3953488372093024,1.2926829268292683,1.3953488372093024,1.2926829268292683
778484,1.2777777777777777,1.2222222222222223,1.2777777777777777,1.2222222222222223
778462,1.4285714285714286,1.0222222222222221,1.44,1.0740740740740742
