game_pk,date,home_ip_per_gs_rolling_5,away_ip_per_gs_rolling_5
778563,2025-03-18,,
778564,2025-03-19,,
778545,2025-03-27,,
778546,2025-03-27,,
778547,2025-03-27,,
778551,2025-03-27,,
778552,2025-03-27,,4.0
778553,2025-03-27,,
778554,2025-03-27,,
778555,2025-03-27,,
778556,2025-03-27,,
778557,2025-03-27,,
778558,2025-03-27,,
778559,2025-03-27,,
778561,2025-03-27,,
778562,2025-03-27,,
778518,2025-03-28,,
778541,2025-03-28,,
778542,2025-03-28,,
778543,2025-03-28,,
778544,2025-03-28,5.0,
778548,2025-03-28,,
778549,2025-03-28,,
778550,2025-03-28,,
778560,2025-03-28,,
778520,2025-03-29,,
778521,2025-03-29,,
778528,2025-03-29,,
778529,2025-03-29,,
778530,2025-03-29,,
778531,2025-03-29,,
778532,2025-03-29,,4.0
778533,2025-03-29,3.0,
778534,2025-03-29,,
778535,2025-03-29,,
778536,2025-03-29,,
778537,2025-03-29,,
778538,2025-03-29,,
778539,2025-03-29,,
778540,2025-03-29,,
778510,2025-03-30,,
778513,2025-03-30,,
778514,2025-03-30,,
778515,2025-03-30,,
778516,2025-03-30,,
778517,2025-03-30,,
778519,2025-03-30,,
778522,2025-03-30,,
778523,2025-03-30,,
778524,2025-03-30,,
778525,2025-03-30,,
778526,2025-03-30,,
778527,2025-03-30,,
778496,2025-03-31,,
778499,2025-03-31,,
778500,2025-03-31,,
778501,2025-03-31,,
778502,2025-03-31,,
778503,2025-03-31,,
778504,2025-03-31,,
778505,2025-03-31,,
778506,2025-03-31,,
778507,2025-03-31,,
778508,2025-03-31,,
778509,2025-03-31,,
778511,2025-03-31,,
778512,2025-03-31,,
778485,2025-04-01,2.2,
778486,2025-04-01,7.0,
778487,2025-04-01,,5.0
778488,2025-04-01,,
778489,2025-04-01,,5.0
778490,2025-04-01,,
778491,2025-04-01,5.0,
778492,2025-04-01,,
778493,2025-04-01,,
778494,2025-04-01,6.0,4.5
778495,2025-04-01,,
778497,2025-04-01,4.2,
778498,2025-04-01,,6.0
778469,2025-04-02,5.0,5.0
778471,2025-04-02,6.0,4.1
778472,2025-04-02,5.0,
778473,2025-04-02,5.0,6.0
778474,2025-04-02,6.0,5.0
778475,2025-04-02,7.0,
778476,2025-04-02,4.1,5.0
778477,2025-04-02,5.0,5.0
778478,2025-04-02,,6.0
778479,2025-04-02,6.0,5.1
778480,2025-04-02,5.0,5.0
778481,2025-04-02,5.0,4.2
778482,2025-04-02,6.0,6.0
778483,2025-04-02,6.0,5.0
778484,2025-04-02,5.1,4.0
778462,2025-04-03,5.0,6.0
778466,2025-04-03,,5.1
778467,2025-04-03,,4.1
778468,2025-04-03,2.0,6.0
778470,2025-04-03,3.1,5.2
778444,2025-04-04,5.0,
778447,2025-04-04,7.0,5.0
778453,2025-04-04,,6.0
778454,2025-04-04,1.2,6.0
778455,2025-04-04,5.0,5.1
778456,2025-04-04,5.0,5.0
778457,2025-04-04,5.0,6.0
778458,2025-04-04,5.2,5.0
778459,2025-04-04,5.0,5.0
778460,2025-04-04,5.5,6.0
778461,2025-04-04,6.0,4.2
778463,2025-04-04,4.1,6.0
778464,2025-04-04,6.0,5.2
778465,2025-04-04,5.0,6.0
778436,2025-04-05,5.1,5.2
778437,2025-04-05,6.0,5.2
778438,2025-04-05,5.0,6.0
778439,2025-04-05,4.0,7.0
778440,2025-04-05,2.2,6.0
778441,2025-04-05,4.0,4.0
778442,2025-04-05,6.0,6.2
