game_pk,date,home_ip_per_gs_rolling_5,away_ip_per_gs_rolling_5
413661,2015-04-05,,
413649,2015-04-06,,
413650,2015-04-06,,
413651,2015-04-06,,
413652,2015-04-06,,
413653,2015-04-06,,
413654,2015-04-06,,
413655,2015-04-06,,
413656,2015-04-06,,
413657,2015-04-06,,
413658,2015-04-06,,
413659,2015-04-06,,
413660,2015-04-06,,
413662,2015-04-06,,
413663,2015-04-06,,
413664,2015-04-07,,
413665,2015-04-07,,
413666,2015-04-07,,
413667,2015-04-07,,
413668,2015-04-07,,
413669,2015-04-07,,
413670,2015-04-07,,
413671,2015-04-08,,
413672,2015-04-08,,
413673,2015-04-08,,
413674,2015-04-08,,
413675,2015-04-08,,
413676,2015-04-08,,
413677,2015-04-08,,
413678,2015-04-08,,
413679,2015-04-08,,
413680,2015-04-08,,
413681,2015-04-08,,
413682,2015-04-08,,
413684,2015-04-08,,
413685,2015-04-08,,
413693,2015-04-08,,
413686,2015-04-09,,
413687,2015-04-09,,
413688,2015-04-09,,
413689,2015-04-09,,
413690,2015-04-09,,
413691,2015-04-09,,
413692,2015-04-09,,
413694,2015-04-09,,
413695,2015-04-09,,
413696,2015-04-10,,
413697,2015-04-10,,
413698,2015-04-10,,
413699,2015-04-10,,
413700,2015-04-10,,
413701,2015-04-10,,
413702,2015-04-10,,
413703,2015-04-10,,
413704,2015-04-10,,
413705,2015-04-10,,
413706,2015-04-10,,
413707,2015-04-10,,
413708,2015-04-10,,
413709,2015-04-10,,
413710,2015-04-10,,
413711,2015-04-11,,
413712,2015-04-11,7.0,
413713,2015-04-11,7.1,8.2
413714,2015-04-11,4.0,
413715,2015-04-11,6.0,
413716,2015-04-11,,6.0
413717,2015-04-11,6.0,
413718,2015-04-11,6.0,
413719,2015-04-11,,
413720,2015-04-11,8.0,
413721,2015-04-11,6.0,7.0
413722,2015-04-11,7.0,
413723,2015-04-11,,5.2
413724,2015-04-11,,
413725,2015-04-11,5.0,
413726,2015-04-12,4.0,7.0
413727,2015-04-12,6.0,
413728,2015-04-12,,
413729,2015-04-12,6.0,7.0
413730,2015-04-12,8.0,6.0
413731,2015-04-12,4.2,6.0
413732,2015-04-12,,6.0
413733,2015-04-12,5.0,6.0
413734,2015-04-12,3.1,
413735,2015-04-12,6.0,7.0
413736,2015-04-12,6.0,
413737,2015-04-12,,
413738,2015-04-12,7.0,5.2
413739,2015-04-12,6.2,6.0
413740,2015-04-12,,7.2
413741,2015-04-13,4.1,6.0
413742,2015-04-13,5.0,5.1
413743,2015-04-13,4.1,5.2
413744,2015-04-13,6.0,5.2
413745,2015-04-13,5.0,6.2
413746,2015-04-13,,5.0
413747,2015-04-13,5.0,0.2
413748,2015-04-13,6.0,5.0
413749,2015-04-13,4.1,6.0
413750,2015-04-13,6.2,7.0
413751,2015-04-13,6.0,6.1
413752,2015-04-13,5.0,6.0
413753,2015-04-13,6.1,6.2
413754,2015-04-13,6.0,6.0
413755,2015-04-14,7.0,
413756,2015-04-14,,4.1
413757,2015-04-14,6.1,5.0
413758,2015-04-14,7.0,6.0
413759,2015-04-14,6.1,
413760,2015-04-14,5.1,8.0
413761,2015-04-14,,6.0
413762,2015-04-14,5.2,5.2
413763,2015-04-14,,3.1
413764,2015-04-14,6.0,3.0
413765,2015-04-14,,6.0
413766,2015-04-14,5.2,
413767,2015-04-14,6.0,5.1
