game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5057818,2026-03-30,KC,MIN,3,1,-164,140,-164,140,4.5,4.5,4.5,4.5,288,-416,288,-416
5057819,2026-03-30,BAL,TEX,2,5,-125,114,-125,114,7.5,7.5,7.5,7.5,240,-335,240,-335
5057820,2026-03-30,MIA,CHW,4,9,-149,125,-149,125,14.5,14.5,14.5,14.5,-120,-109,-120,-109
5057821,2026-03-30,CIN,PIT,2,0,-133,114,-133,114,2.5,2.5,2.5,2.5,337,-506,337,-506
5057822,2026-03-30,PHI,WSH,2,13,-169,145,-169,145,14.5,14.5,14.5,14.5,105,-136,105,-136
5057823,2026-03-30,TOR,COL,5,14,-294,240,-294,240,13.5,13.5,13.5,13.5,-104,-125,-104,-125
5057824,2026-03-30,ATL,OAK,4,0,-125,110,-125,110,4.5,4.5,4.5,4.5,125,-163,125,-163
5057825,2026-03-30,CHC,LAA,7,2,-189,160,-189,160,10.5,10.5,10.5,10.5,-119,-109,-119,-109
5057826,2026-03-30,MIL,TB,2,3,-159,140,-159,140,5.5,5.5,5.5,5.5,579,-1100,579,-1100
5057827,2026-03-30,STL,NYM,2,4,129,-149,129,-149,6.5,6.5,6.5,6.5,482,-830,482,-830
5057828,2026-03-30,HOU,BOS,8,1,114,-130,114,-130,7.5,7.5,7.5,7.5,-121,-107,-121,-107
5057829,2026-03-30,SEA,NYY,2,1,100,-118,100,-118,3.5,3.5,3.5,3.5,217,-298,217,-298
5057830,2026-03-30,SD,SF,2,3,-118,100,-118,100,3.5,3.5,3.5,3.5,138,-182,138,-182
5057831,2026-03-30,LAD,CLE,2,4,-169,165,-169,165,5.5,5.5,5.5,5.5,-131,101,-131,101
5057832,2026-03-30,ARI,DET,9,6,-115,104,-115,104,15.5,15.5,15.5,15.5,221,-305,221,-305
