Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO
2025-06-05,Atlanta Braves,Grant Holmes,3.99,1.2,67.2,68,.211,3.73,1.26,470.9,465,Arizona Diamondbacks,Brandon Pfaadt,5.51,1.36,65.1,51,.275,4.66,1.33,486.1,478
2025-06-05,St. Louis Cardinals,Miles Mikolas,3.9,1.28,60.0,36,.256,3.88,1.25,475.1,397,Kansas City Royals,Noah Cameron,0.91,0.81,29.2,19,.137,3.3,1.21,518.9,480
2025-06-05,St. Louis Cardinals,Matthew Liberatore,3.08,1.06,64.1,56,.237,3.99,1.28,471.0,377,Kansas City Royals,Cole Ragans,4.53,1.2,45.2,72,.241,3.05,1.19,502.9,427
2025-06-05,Chicago White Sox,Sean Burke,4.04,1.41,62.1,47,.242,4.21,1.38,472.9,404,Detroit Tigers,Casey Mize,2.72,1.21,53.0,46,.236,3.25,1.17,509.0,492
2025-06-05,Toronto Blue Jays,Chris Bassitt,3.8,1.36,66.1,69,.278,4.06,1.19,478.1,486,Philadelphia Phillies,Jesús Luzardo,3.58,1.34,70.1,81,.266,4.02,1.29,478.0,501
2025-06-05,Athletics,Mitch Spence,4.38,1.33,39.0,37,.250,5.95,1.57,519.1,462,Minnesota Twins,David Festa,1.38,1.31,13.0,15,.245,3.33,1.16,524.0,533
2025-06-05,Seattle Mariners,Bryan Woo,2.82,0.95,70.1,63,.221,4.02,1.39,476.1,416,Baltimore Orioles,Zach Eflin,4.46,1.09,40.1,24,.252,5.2,1.47,485.0,451
2025-06-05,San Francisco Giants,Robbie Ray,2.43,1.11,70.1,78,.194,3.15,1.21,476.9,457,San Diego Padres,Dylan Cease,4.66,1.29,63.2,78,.251,3.41,1.19,470.8,445
2025-06-05,Los Angeles Dodgers,Landon Knack,4.58,1.36,35.1,34,.255,4.09,1.29,519.9,529,New York Mets,David Peterson,2.69,1.26,63.2,59,.237,2.85,1.23,489.9,499
2025-06-05,Pittsburgh Pirates,Mitch Keller,3.73,1.26,70.0,56,.253,3.9,1.23,480.0,400,Houston Astros,Framber Valdez,3.12,1.06,78.0,73,.213,3.67,1.18,458.1,503
2025-06-05,Washington Nationals,Jake Irvin,3.93,1.17,73.1,47,.235,5.16,1.41,462.9,438,Chicago Cubs,Drew Pomeranz,0.0,0.51,13.2,15,.091,3.89,1.26,533.0,468
2025-06-05,New York Yankees,Max Fried,1.92,0.97,75.0,70,.205,3.85,1.23,455.0,498,Cleveland Guardians,Slade Cecconi,5.28,1.43,15.1,17,.274,3.94,1.37,513.1,501
2025-06-05,Tampa Bay Rays,Ryan Pepiot,3.21,1.16,70.0,56,.236,3.46,1.16,475.1,419,Texas Rangers,Jack Leiter,3.66,1.2,46.2,36,.195,3.12,1.15,492.9,447
