game_pk,date,home_ip_per_gs_rolling_5,away_ip_per_gs_rolling_5
346787,2013-03-31,,
346183,2013-04-01,,
346184,2013-04-01,,
346185,2013-04-01,,
346186,2013-04-01,,
346187,2013-04-01,,
346188,2013-04-01,,
346189,2013-04-01,,
346190,2013-04-01,,
346191,2013-04-01,,
346752,2013-04-01,,
346753,2013-04-01,,
346755,2013-04-01,,
346754,2013-04-02,,
346756,2013-04-02,,
346757,2013-04-02,,
346758,2013-04-02,,
346759,2013-04-02,,
346760,2013-04-02,,
346761,2013-04-02,,
346762,2013-04-03,,
346763,2013-04-03,,
346764,2013-04-03,,
346765,2013-04-03,,
346766,2013-04-03,,
346767,2013-04-03,,
346768,2013-04-03,,
346769,2013-04-03,,
346770,2013-04-03,,
346771,2013-04-03,,
346772,2013-04-03,,
346773,2013-04-03,,
346774,2013-04-03,,
346775,2013-04-03,,
346776,2013-04-03,,
346777,2013-04-04,,
346778,2013-04-04,,
346779,2013-04-04,,
346780,2013-04-04,,
346781,2013-04-04,,
346782,2013-04-04,,
346783,2013-04-04,,
346784,2013-04-04,,
346785,2013-04-04,,
346786,2013-04-04,,
346788,2013-04-04,,
346789,2013-04-05,,
346790,2013-04-05,,
346791,2013-04-05,,
346792,2013-04-05,,
346793,2013-04-05,,
346794,2013-04-05,,
346795,2013-04-05,,
346796,2013-04-05,,
346797,2013-04-05,,
346798,2013-04-05,,
346799,2013-04-05,,
346800,2013-04-05,,
346801,2013-04-05,,
346802,2013-04-05,,
346803,2013-04-05,,
346804,2013-04-06,5.2,
346805,2013-04-06,,
346806,2013-04-06,,
346807,2013-04-06,,
346808,2013-04-06,6.2,6.0
346809,2013-04-06,,6.0
346810,2013-04-06,,
346811,2013-04-06,5.2,
346812,2013-04-06,9.0,5.2
346813,2013-04-06,,
346814,2013-04-06,,7.2
346815,2013-04-06,,
346816,2013-04-06,,
346817,2013-04-06,,
346818,2013-04-06,,
346819,2013-04-07,8.2,6.0
346820,2013-04-07,4.1,8.0
346821,2013-04-07,6.0,6.0
346822,2013-04-07,,
346823,2013-04-07,6.0,
346824,2013-04-07,5.0,5.0
346825,2013-04-07,6.0,7.0
346826,2013-04-07,6.1,
346827,2013-04-07,6.2,3.0
346828,2013-04-07,7.2,6.0
346829,2013-04-07,6.0,6.0
346830,2013-04-07,7.0,7.0
346831,2013-04-07,6.0,5.0
346832,2013-04-07,5.0,6.0
346833,2013-04-07,5.0,7.0
346834,2013-04-08,7.0,5.2
346835,2013-04-08,8.0,4.1
346836,2013-04-08,5.0,5.0
346837,2013-04-08,6.0,7.0
346838,2013-04-08,6.0,1.1
346839,2013-04-08,5.2,6.2
346840,2013-04-08,6.1,6.1
346841,2013-04-08,5.2,6.2
346842,2013-04-08,3.1,7.0
346843,2013-04-08,5.1,5.2
346844,2013-04-08,4.0,5.2
346845,2013-04-09,6.0,6.0
346846,2013-04-09,5.0,6.0
346847,2013-04-09,4.1,6.0
346848,2013-04-09,6.0,5.1
346849,2013-04-09,6.0,5.1
346850,2013-04-09,,8.0
