id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
1,2025,2025-03-18,False,regular,STATUS_FINAL,Tokyo Dome,False,5,14,chicago-cubs,los-angeles-dodgers,CHC,LAD,Chicago Cubs,Los Angeles Dodgers,Cubs,Dodgers,Cubs,Dodgers,Chicago,Los Angeles,National,National,Central,West,1,4,,,,,,
125,2025,2025-03-19,False,regular,STATUS_FINAL,Tokyo Dome,False,5,14,chicago-cubs,los-angeles-dodgers,CHC,LAD,Chicago Cubs,Los Angeles Dodgers,Cubs,Dodgers,Cubs,Dodgers,Chicago,Los Angeles,National,National,Central,West,3,6,,,,,,
1828,2025,2025-03-27,False,regular,STATUS_FINAL,Rogers Centre,False,29,3,toronto-blue-jays,baltimore-orioles,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,Blue Jays,Orioles,Blue Jays,Orioles,Toronto,Baltimore,American,American,East,East,2,12,,,,,,
1830,2025,2025-03-27,False,regular,STATUS_FINAL,Yankee Stadium,False,19,16,new-york-yankees,milwaukee-brewers,NYY,MIL,New York Yankees,Milwaukee Brewers,Yankees,Brewers,Yankees,Brewers,New York,Milwaukee,American,National,East,Central,4,2,,,,,,
1831,2025,2025-03-27,False,regular,STATUS_FINAL,Nationals Park,False,30,21,washington-nationals,philadelphia-phillies,WSH,PHI,Washington Nationals,Philadelphia Phillies,Nationals,Phillies,Nationals,Phillies,Washington,Philadelphia,National,National,East,East,3,7,,,,,,
1832,2025,2025-03-27,False,regular,STATUS_FINAL,loanDepot park,False,15,22,miami-marlins,pittsburgh-pirates,MIA,PIT,Miami Marlins,Pittsburgh Pirates,Marlins,Pirates,Marlins,Pirates,Miami,Pittsburgh,National,National,East,Central,5,4,,,,,,
1833,2025,2025-03-27,False,regular,STATUS_FINAL,Great American Ball Park,False,7,24,cincinnati-reds,san-francisco-giants,CIN,SF,Cincinnati Reds,San Francisco Giants,Reds,Giants,Reds,Giants,Cincinnati,San Francisco,National,National,Central,West,4,6,,,,,,
1834,2025,2025-03-27,False,regular,STATUS_FINAL,Rate Field,False,6,13,chicago-white-sox,los-angeles-angels,CHW,LAA,Chicago White Sox,Los Angeles Angels,White Sox,Angels,White Sox,Angels,Chicago,Los Angeles,American,American,Central,West,8,1,,,,,,
1835,2025,2025-03-27,False,regular,STATUS_FINAL,Globe Life Field,False,28,4,texas-rangers,boston-red-sox,TEX,BOS,Texas Rangers,Boston Red Sox,Rangers,Red Sox,Rangers,Red Sox,Texas,Boston,American,American,West,East,2,5,,,,,,
1836,2025,2025-03-27,False,regular,STATUS_FINAL,Kauffman Stadium,False,12,8,kansas-city-royals,cleveland-guardians,KC,CLE,Kansas City Royals,Cleveland Guardians,Royals,Guardians,Royals,Guardians,Kansas City,Cleveland,American,American,Central,Central,4,7,,,,,,
1837,2025,2025-03-27,False,regular,STATUS_FINAL,Busch Stadium,False,26,17,st-louis-cardinals,minnesota-twins,STL,MIN,St. Louis Cardinals,Minnesota Twins,Cardinals,Twins,Cardinals,Twins,St. Louis,Minnesota,National,American,Central,Central,5,3,,,,,,
1838,2025,2025-03-27,False,regular,STATUS_FINAL,Daikin Park,False,11,18,houston-astros,new-york-mets,HOU,NYM,Houston Astros,New York Mets,Astros,Mets,Astros,Mets,Houston,New York,American,National,West,East,3,1,,,,,,
1839,2025,2025-03-27,False,regular,STATUS_FINAL,Petco Park,False,23,2,san-diego-padres,atlanta-braves,SD,ATL,San Diego Padres,Atlanta Braves,Padres,Braves,Padres,Braves,San Diego,Atlanta,National,National,West,East,7,4,,,,,,
1840,2025,2025-03-27,False,regular,STATUS_FINAL,Chase Field,False,1,5,arizona-diamondbacks,chicago-cubs,ARI,CHC,Arizona Diamondbacks,Chicago Cubs,Diamondbacks,Cubs,Diamondbacks,Cubs,Arizona,Chicago,National,National,West,Central,6,10,,,,,,
1841,2025,2025-03-27,False,regular,STATUS_FINAL,Dodger Stadium,False,14,10,los-angeles-dodgers,detroit-tigers,LAD,DET,Los Angeles Dodgers,Detroit Tigers,Dodgers,Tigers,Dodgers,Tigers,Los Angeles,Detroit,National,American,West,Central,5,4,,,,,,
1842,2025,2025-03-27,False,regular,STATUS_FINAL,T-Mobile Park,False,25,20,seattle-mariners,oakland-athletics,SEA,OAK,Seattle Mariners,Oakland Athletics,Mariners,Athletics,Mariners,Athletics,Seattle,Oakland,American,American,West,West,4,2,,,,,,
1829,2025,2025-03-28,False,regular,STATUS_FINAL,George M. Steinbrenner Field,False,27,9,tampa-bay-rays,colorado-rockies,TB,COL,Tampa Bay Rays,Colorado Rockies,Rays,Rockies,Rays,Rockies,Tampa Bay,Colorado,American,National,East,West,3,2,,,,,,
1991,2025,2025-03-28,False,regular,STATUS_FINAL,Rogers Centre,False,29,3,toronto-blue-jays,baltimore-orioles,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,Blue Jays,Orioles,Blue Jays,Orioles,Toronto,Baltimore,American,American,East,East,8,2,,,,,,
1992,2025,2025-03-28,False,regular,STATUS_FINAL,loanDepot park,False,15,22,miami-marlins,pittsburgh-pirates,MIA,PIT,Miami Marlins,Pittsburgh Pirates,Marlins,Pirates,Marlins,Pirates,Miami,Pittsburgh,National,National,East,Central,3,4,,,,,,
1993,2025,2025-03-28,False,regular,STATUS_FINAL,Globe Life Field,False,28,4,texas-rangers,boston-red-sox,TEX,BOS,Texas Rangers,Boston Red Sox,Rangers,Red Sox,Rangers,Red Sox,Texas,Boston,American,American,West,East,4,1,,,,,,
1994,2025,2025-03-28,False,regular,STATUS_FINAL,Petco Park,False,23,2,san-diego-padres,atlanta-braves,SD,ATL,San Diego Padres,Atlanta Braves,Padres,Braves,Padres,Braves,San Diego,Atlanta,National,National,West,East,4,3,,,,,,
1995,2025,2025-03-28,False,regular,STATUS_FINAL,Chase Field,False,1,5,arizona-diamondbacks,chicago-cubs,ARI,CHC,Arizona Diamondbacks,Chicago Cubs,Diamondbacks,Cubs,Diamondbacks,Cubs,Arizona,Chicago,National,National,West,Central,8,1,,,,,,
