game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
717625,2023-06-24,114,158,CLE,MIL,Guardians,Brewers,Cleveland Guardians,Milwaukee Brewers,0,0,regular,regular,2023,2023,79,76,31,31,4,2,9,4,1,0,0,0,0,0,3,1,10,4,3,4,9,11,1,1,0.247,0.226,0.311,0.303,0.371,0.373,0.682,0.676,1,0,0,1,3.84,4.04,9.0,8.0,4,9,1,4,0,0,4,3,11,9,0.0,0.0,1.28,1.28,1,1,2023-06-24
717626,2023-06-24,119,117,LAD,HOU,Dodgers,Astros,Los Angeles Dodgers,Houston Astros,0,0,regular,regular,2023,2023,76,78,28,35,8,7,5,13,2,4,0,0,3,1,7,7,16,20,6,5,8,9,0,1,0.239,0.245,0.327,0.316,0.444,0.401,0.771,0.717,1,0,0,1,4.51,3.57,9.0,8.0,13,5,7,8,1,3,5,6,9,8,0.0,0.0,1.26,1.26,0,0,2023-06-24
717628,2023-06-24,110,136,BAL,SEA,Orioles,Mariners,Baltimore Orioles,Seattle Mariners,0,0,regular,regular,2023,2023,77,75,34,38,6,4,11,8,0,0,0,0,3,4,6,4,20,20,5,1,7,9,2,2,0.253,0.23,0.32,0.309,0.426,0.388,0.746,0.697,1,0,0,1,4.29,3.83,10.0,9.3333,8,11,4,5,4,3,1,5,9,7,0.0,0.0,1.34,1.2,0,0,2023-06-24
717629,2023-06-24,145,111,CWS,BOS,White Sox,Red Sox,Chicago White Sox,Boston Red Sox,0,0,regular,regular,2023,2023,80,80,35,36,5,4,10,9,0,1,0,0,4,1,5,4,22,13,1,3,7,11,1,4,0.235,0.261,0.293,0.333,0.391,0.427,0.684,0.76,1,0,0,1,4.5,4.39,9.0,8.6667,9,10,4,5,1,4,3,1,11,7,0.0,0.0,1.35,1.29,2,0,2023-06-24
717630,2023-06-24,146,134,MIA,PIT,Marlins,Pirates,Miami Marlins,Pittsburgh Pirates,0,0,regular,regular,2023,2023,80,77,40,39,4,3,12,6,2,4,0,0,1,0,4,3,17,10,3,6,5,9,0,0,0.26,0.238,0.321,0.316,0.394,0.388,0.715,0.704,1,0,0,1,4.01,4.31,11.0,10.3333,6,12,2,2,0,1,6,3,9,5,0.0,0.0,1.26,1.39,0,0,2023-06-24
717631,2023-06-24,113,144,CIN,ATL,Reds,Braves,Cincinnati Reds,Atlanta Braves,0,0,regular,regular,2023,2023,79,80,37,39,6,7,10,14,0,2,0,0,4,4,6,7,22,28,2,3,10,6,2,2,0.256,0.271,0.335,0.34,0.411,0.485,0.746,0.825,0,1,1,0,4.96,3.82,9.0,9.0,14,10,7,6,4,4,3,2,6,10,0.0,0.0,1.45,1.28,1,1,2023-06-24
717632,2023-06-24,139,118,TB,KC,Rays,Royals,Tampa Bay Rays,Kansas City Royals,0,0,regular,regular,2023,2023,81,77,34,36,4,9,8,11,2,3,0,0,1,3,4,9,13,23,1,2,5,8,2,0,0.266,0.235,0.339,0.298,0.465,0.382,0.804,0.68,0,1,1,0,3.63,5.24,9.0,9.0,11,8,9,4,3,1,2,1,8,5,0.0,0.0,1.2,1.42,0,1,2023-06-24
717633,2023-06-24,116,142,DET,MIN,Tigers,Twins,Detroit Tigers,Minnesota Twins,0,0,regular,regular,2023,2023,81,79,32,35,3,2,8,8,0,1,0,0,0,2,3,2,8,15,2,2,11,13,0,0,0.23,0.231,0.302,0.309,0.362,0.403,0.664,0.712,1,0,0,1,4.35,3.67,9.0,8.0,8,8,2,3,2,0,2,2,13,11,0.0,0.0,1.23,1.18,1,0,2023-06-24
717634,2023-06-24,141,133,TOR,OAK,Blue Jays,Athletics,Toronto Blue Jays,Oakland Athletics,0,0,regular,regular,2023,2023,78,79,35,35,7,3,12,8,3,2,0,0,2,1,7,3,21,13,4,2,6,10,0,0,0.263,0.221,0.329,0.303,0.418,0.351,0.747,0.654,1,0,0,1,4.01,6.01,9.0,8.0,8,12,2,7,1,2,2,4,10,6,0.0,0.0,1.28,1.55,1,0,2023-06-24
717635,2023-06-24,143,121,PHI,NYM,Phillies,Mets,Philadelphia Phillies,New York Mets,0,0,regular,regular,2023,2023,80,82,33,33,2,4,9,9,1,0,0,1,1,1,2,4,13,14,3,1,10,8,2,0,0.257,0.24,0.321,0.319,0.414,0.397,0.735,0.716,0,1,1,0,4.22,4.63,9.0,9.0,9,9,4,2,1,1,1,3,8,10,0.0,0.0,1.26,1.36,0,0,2023-06-24
